trip_id,loco_id,train_number,route_from,route_to,departure_plan,departure_fact,arrival_plan,arrival_fact,delay_min,cargo_type,gross_weight_tons,distance_km,status
TR034,L025,6311,Бердск,Новосибирск,2024-03-02 15:00:00,2024-03-02 15:00:00,2024-03-02 16:05:00,2024-03-02 16:04:00,0,пассажирский,0,54,выполнен
TR035,L002,5601,Новосибирск,Омск,2024-03-03 00:00:00,2024-03-03 00:00:00,2024-03-03 07:00:00,2024-03-03 07:00:00,0,металлы,4700,642,выполнен
TR036,L009,022,Омск,Новосибирск,2024-03-03 01:00:00,2024-03-03 01:09:00,2024-03-03 05:00:00,2024-03-03 05:10:00,10,пассажирский,0,642,выполнен
TR037,L016,5706,Новосибирск,Барнаул,2024-03-03 02:00:00,2024-03-03 02:00:00,2024-03-03 04:30:00,2024-03-03 04:30:00,0,нефтепродукты,3800,225,выполнен
TR038,L020,5801,Омск,Тюмень,2024-03-03 03:00:00,2024-03-03 03:00:00,2024-03-03 10:00:00,2024-03-03 10:02:00,2,уголь,4500,643,выполнен
TR039,L004,5902,Новосибирск,Кемерово,2024-03-03 06:00:00,2024-03-03 06:00:00,2024-03-03 09:15:00,2024-03-03 09:13:00,0,зерно,4000,307,выполнен
TR040,L013,024,Новосибирск,Красноярск,2024-03-03 07:00:00,2024-03-03 07:00:00,2024-03-03 15:30:00,2024-03-03 15:31:00,1,пассажирский,0,836,выполнен
TR041,L006,6001,Барнаул,Новосибирск,2024-03-03 09:00:00,2024-03-03 10:15:00,2024-03-03 11:30:00,2024-03-03 12:46:00,76,контейнеры,3300,225,выполнен
TR042,L008,6102,Новосибирск,Омск,2024-03-03 10:00:00,2024-03-03 10:05:00,2024-03-03 17:00:00,2024-03-03 17:06:00,6,металлы,4800,642,выполнен
TR043,L024,6315,Новосибирск,Бердск,2024-03-03 12:00:00,2024-03-03 12:00:00,2024-03-03 13:05:00,2024-03-03 13:05:00,0,пассажирский,0,54,выполнен
TR044,L001,6205,Кемерово,Новосибирск,2024-03-03 14:00:00,2024-03-03 14:00:00,2024-03-03 17:15:00,2024-03-03 17:17:00,2,уголь,5200,307,выполнен
TR045,L018,6301,Новосибирск,Барнаул,2024-03-04 00:00:00,2024-03-04 00:00:00,2024-03-04 02:30:00,2024-03-04 02:28:00,0,нефтепродукты,3600,225,выполнен
TR046,L002,6408,Омск,Новосибирск,2024-03-04 01:00:00,2024-03-04 01:18:00,2024-03-04 08:00:00,2024-03-04 08:19:00,19,уголь,4900,642,выполнен
TR047,L016,6503,Новосибирск,Омск,2024-03-04 02:00:00,2024-03-04 02:00:00,2024-03-04 09:00:00,2024-03-04 08:58:00,0,металлы,5100,642,выполнен
TR048,L009,026,Новосибирск,Барнаул,2024-03-04 03:00:00,2024-03-04 03:04:00,2024-03-04 05:15:00,2024-03-04 05:19:00,4,пассажирский,0,225,выполнен
TR049,L020,6601,Новосибирск,Красноярск,2024-03-04 04:00:00,2024-03-04 04:00:00,2024-03-04 12:30:00,2024-03-04 12:30:00,0,зерно,4300,836,выполнен
TR050,L013,028,Омск,Новосибирск,2024-03-04 05:00:00,2024-03-04 05:06:00,2024-03-04 09:00:00,2024-03-04 09:07:00,7,пассажирский,0,642,выполнен
TR051,L004,6705,Новосибирск,Кемерово,2024-03-04 07:00:00,2024-03-04 07:35:00,2024-03-04 10:15:00,2024-03-04 10:50:00,35,контейнеры,3700,307,выполнен
TR052,L006,6801,Омск,Тюмень,2024-03-04 08:00:00,2024-03-04 08:00:00,2024-03-04 15:00:00,2024-03-04 14:59:00,0,нефтепродукты,3400,643,выполнен
TR053,L008,6902,Барнаул,Новосибирск,2024-03-04 09:00:00,2024-03-04 09:00:00,2024-03-04 11:30:00,2024-03-04 11:32:00,2,уголь,4700,225,выполнен
TR054,L025,6319,Новосибирск,Бердск,2024-03-04 10:00:00,2024-03-04 10:02:00,2024-03-04 11:05:00,2024-03-04 11:07:00,2,пассажирский,0,54,выполнен
TR055,L024,6323,Бердск,Новосибирск,2024-03-04 14:00:00,2024-03-04 14:00:00,2024-03-04 15:05:00,2024-03-04 15:04:00,0,пассажирский,0,54,выполнен
TR056,L001,7001,Новосибирск,Омск,2024-03-05 00:00:00,2024-03-05 00:00:00,2024-03-05 07:00:00,2024-03-05 07:00:00,0,уголь,4800,642,выполнен
TR057,L002,7108,Омск,Новосибирск,2024-03-05 01:00:00,2024-03-05 01:00:00,2024-03-05 08:00:00,2024-03-05 07:58:00,0,металлы,5000,642,выполнен
TR058,L009,030,Новосибирск,Омск,2024-03-05 02:00:00,2024-03-05 02:08:00,2024-03-05 06:00:00,2024-03-05 06:09:00,9,пассажирский,0,642,выполнен
TR059,L016,7203,Новосибирск,Барнаул,2024-03-05 03:00:00,2024-03-05 03:00:00,2024-03-05 05:30:00,2024-03-05 05:31:00,1,нефтепродукты,3700,225,выполнен
TR060,L020,7301,Кемерово,Новосибирск,2024-03-05 04:00:00,2024-03-05 04:00:00,2024-03-05 07:15:00,2024-03-05 07:14:00,0,уголь,5300,307,выполнен
TR061,L018,7408,Новосибирск,Красноярск,2024-03-05 05:00:00,2024-03-05 05:55:00,2024-03-05 13:30:00,2024-03-05 14:27:00,57,зерно,4100,836,выполнен
TR062,L013,032,Новосибирск,Барнаул,2024-03-05 06:00:00,2024-03-05 06:03:00,2024-03-05 08:15:00,2024-03-05 08:19:00,4,пассажирский,0,225,выполнен
TR063,L024,6327,Новосибирск,Бердск,2024-03-05 07:00:00,2024-03-05 07:00:00,2024-03-05 08:05:00,2024-03-05 08:05:00,0,пассажирский,0,54,выполнен
TR064,L006,7502,Омск,Тюмень,2024-03-05 08:00:00,2024-03-05 08:28:00,2024-03-05 15:00:00,2024-03-05 15:30:00,30,контейнеры,3500,643,выполнен
TR065,L008,7601,Новосибирск,Омск,2024-03-05 10:00:00,2024-03-05 10:00:00,2024-03-05 17:00:00,2024-03-05 17:03:00,3,металлы,4900,642,выполнен
TR066,L004,7705,Новосибирск,Кемерово,2024-03-06 00:00:00,2024-03-06 00:00:00,2024-03-06 03:15:00,2024-03-06 03:14:00,0,уголь,5000,307,выполнен
TR067,L002,7802,Омск,Новосибирск,2024-03-06 01:00:00,2024-03-06 01:00:00,2024-03-06 08:00:00,2024-03-06 08:02:00,2,нефтепродукты,3800,642,выполнен
TR068,L009,034,Новосибирск,Красноярск,2024-03-06 02:00:00,2024-03-06 02:00:00,2024-03-06 10:30:00,2024-03-06 10:30:00,0,пассажирский,0,836,выполнен
TR069,L016,7901,Новосибирск,Омск,2024-03-06 03:00:00,2024-03-06 03:00:00,2024-03-06 10:00:00,2024-03-06 10:01:00,1,металлы,5100,642,выполнен
TR070,L020,8004,Барнаул,Новосибирск,2024-03-06 04:00:00,2024-03-06 04:00:00,2024-03-06 06:30:00,2024-03-06 06:31:00,1,зерно,4000,225,выполнен
TR071,L013,036,Омск,Новосибирск,2024-03-06 05:00:00,2024-03-06 05:06:00,2024-03-06 09:00:00,2024-03-06 09:07:00,7,пассажирский,0,642,выполнен
TR072,L025,6331,Новосибирск,Бердск,2024-03-06 06:00:00,2024-03-06 06:01:00,2024-03-06 07:05:00,2024-03-06 07:06:00,1,пассажирский,0,54,выполнен
TR073,L008,8105,Новосибирск,Барнаул,2024-03-06 07:00:00,2024-03-06 07:00:00,2024-03-06 09:30:00,2024-03-06 09:28:00,0,контейнеры,3300,225,выполнен
TR074,L006,8201,Омск,Тюмень,2024-03-06 09:00:00,2024-03-06 09:140:00,2024-03-06 16:00:00,2024-03-06 17:20:00,80,уголь,4700,643,выполнен
TR075,L001,8302,Новосибирск,Омск,2024-03-07 00:00:00,2024-03-07 00:00:00,2024-03-07 07:00:00,2024-03-07 07:00:00,0,металлы,4900,642,в_пути
TR076,L002,8407,Омск,Новосибирск,2024-03-07 01:00:00,2024-03-07 01:05:00,2024-03-07 08:00:00,2024-03-07 08:06:00,6,уголь,4800,642,в_пути
TR077,L009,038,Новосибирск,Барнаул,2024-03-07 02:00:00,2024-03-07 02:00:00,2024-03-07 04:15:00,2024-03-07 04:15:00,0,пассажирский,0,225,в_пути
TR078,L016,8503,Новосибирск,Кемерово,2024-03-07 04:00:00,2024-03-07 04:00:00,2024-03-07 07:15:00,2024-03-07 07:13:00,0,нефтепродукты,3600,307,в_пути
TR079,L024,6335,Новосибирск,Бердск,2024-03-07 06:00:00,2024-03-07 06:02:00,2024-03-07 07:05:00,2024-03-07 07:08:00,3,пассажирский,0,54,в_пути
TR080,L020,8605,Новосибирск,Красноярск,2024-03-07 08:00:00,2024-03-07 08:00:00,2024-03-07 16:30:00,2024-03-07 16:30:00,0,зерно,4200,836,отменён
