maint_id,loco_id,maint_type,start_datetime,end_datetime,depot,technician_id,cost_rub,planned,description
MR015,L017,ТР-1,2024-03-05 09:00:00,2024-03-07 21:00:00,ТЧЭ-15,T003,150000,true,ТР-1 — замена форсунок дизеля и регулировка ТНВД
MR016,L022,ТО-2,2024-03-06 06:00:00,2024-03-06 14:00:00,ТЧЭ-16,T004,15000,true,ТО-2 — смена масла в дизеле и проверка системы охлаждения
MR017,L019,ТР-1,2024-03-06 08:00:00,2024-03-08 20:00:00,ТЧЭ-17,T005,150000,true,ТР-1 — ревизия дизельного двигателя и турбокомпрессора
MR018,L007,ТО-2,2024-03-06 10:00:00,2024-03-06 16:30:00,ТЧЭ-17,T006,15000,true,ТО-2 после выхода из планового резерва
MR019,L023,ТР-2,2024-02-15 08:00:00,2024-02-20 18:00:00,ТЧЭ-17,T001,800000,true,ТР-2 — деповской ремонт маневрового тепловоза
MR020,L003,ТО-3,2024-02-20 08:00:00,2024-02-21 08:00:00,ТЧЭ-15,T002,35000,true,ТО-3 — промывка котла и проверка САУТ
MR021,L005,КР,2024-01-10 08:00:00,2024-02-20 18:00:00,ТЧЭ-16,T003,5000000,true,КР — капитальный ремонт электровоза ВЛ80С на ремонтном заводе
MR022,L014,ТР-2,2024-02-10 08:00:00,2024-02-17 18:00:00,ТЧЭ-16,T004,800000,true,ТР-2 — ревизия тяговых электродвигателей и переключателя тяги
MR023,L001,ТО-1,2024-03-01 22:00:00,2024-03-02 00:00:00,ТЧЭ-15,T005,5000,true,ТО-1 по возвращении из поездки Омск-Новосибирск
MR024,L002,ТО-1,2024-03-02 20:00:00,2024-03-02 22:00:00,ТЧЭ-15,T006,5000,true,ТО-1 — техническое обслуживание перед следующей поездкой
MR025,L008,ТО-2,2024-03-07 08:00:00,2024-03-07 16:00:00,ТЧЭ-17,T001,15000,false,Внеплановое ТО-2 — перегрев буксы 91°C, замена подшипника
MR026,L009,ТО-1,2024-03-02 22:00:00,2024-03-03 00:00:00,ТЧЭ-15,T002,5000,true,ТО-1 ЭП2К — осмотр токоприёмника и проверка САУТ
MR027,L010,ТО-2,2024-03-03 22:00:00,2024-03-04 06:00:00,ТЧЭ-15,T003,15000,true,ТО-2 — замена графитовых вставок токоприёмника
MR028,L016,ТО-1,2024-03-03 20:00:00,2024-03-03 22:00:00,ТЧЭ-15,T004,5000,true,ТО-1 тепловоза 2ТЭ116 — проверка уровня масла и охлаждающей жидкости
MR029,L020,ТО-2,2024-03-05 20:00:00,2024-03-06 04:00:00,ТЧЭ-17,T005,15000,true,ТО-2 — замена топливных фильтров и регулировка форсунок
MR030,L018,ТО-1,2024-03-06 20:00:00,2024-03-06 22:00:00,ТЧЭ-16,T006,5000,true,ТО-1 — осмотр ходовой части перед рейсом
MR031,L024,ТО-1,2024-03-04 20:00:00,2024-03-04 22:00:00,ТЧЭ-15,T001,5000,true,ТО-1 ЭС2Г Ласточка — проверка систем безопасности
MR032,L025,ТО-2,2024-03-06 20:00:00,2024-03-07 04:00:00,ТЧЭ-15,T002,15000,true,ТО-2 ЭС2Г — замена фильтров климатической системы и ТСКБМ
MR033,L006,ТР-1,2024-03-07 08:00:00,2024-03-09 20:00:00,ТЧЭ-16,T003,150000,false,Внеплановый ТР-1 — замена буксового подшипника после опоздания 92 мин
MR034,L013,ТО-1,2024-03-05 22:00:00,2024-03-06 00:00:00,ТЧЭ-17,T004,5000,true,ТО-1 ЭП1М — проверка автотормозов и контрольных приборов
MR035,L015,ТО-2,2024-03-04 08:00:00,2024-03-04 16:00:00,ТЧЭ-17,T005,15000,true,ТО-2 — проверка межсекционных соединений и токосъёмников
MR036,L012,ТО-1,2024-03-03 08:00:00,2024-03-03 10:00:00,ТЧЭ-17,T006,5000,true,ТО-1 перед пассажирским рейсом — регламентный осмотр
MR037,L004,ТР-2,2024-01-15 08:00:00,2024-01-22 18:00:00,ТЧЭ-15,T001,800000,true,ТР-2 — деповской ремонт ВЛ80С № 2108
MR038,L008,ТР-1,2024-02-05 08:00:00,2024-02-07 20:00:00,ТЧЭ-17,T002,150000,true,ТР-1 — замена тяговых двигателей (секция А)
MR039,L019,КР,2023-10-01 08:00:00,2023-11-15 18:00:00,ТЧЭ-17,T003,5000000,true,КР — капитальный ремонт 2ТЭ116 на Коломенском заводе
MR040,L021,ТР-2,2024-01-20 08:00:00,2024-01-27 18:00:00,ТЧЭ-15,T004,800000,true,ТР-2 — деповской ремонт ЧМЭ3 — замена тягового генератора
